# id,Word,Part of Speech,Per Million Words,Length
592,open,adjective,149.4,4.0
593,culture,noun,149.2,7.0
594,third,number,149.0,5.0
595,source,noun,148.6,6.0
596,film,noun,148.3,4.0
597,simply,adverb,148.2,6.0
598,tree,noun,148.1,4.0
599,step,noun,147.2,4.0
600,red,adjective,147.1,3.0
601,look,noun,147.1,4.0
602,century,noun,145.9,7.0
603,evidence,noun,145.2,8.0
604,attention,noun,145.0,9.0
605,billion,number,145.0,7.0
606,draw,verb,144.9,4.0
607,listen,verb,144.4,6.0
608,nearly,adverb,144.1,6.0
609,period,noun,143.4,6.0
610,cause,verb,143.4,5.0
611,choose,verb,143.0,6.0
612,campaign,noun,142.6,8.0
613,energy,noun,142.5,6.0
614,course,noun,142.2,6.0
615,difficult,adjective,142.1,9.0
616,condition,noun,141.1,9.0
617,plant,noun,141.1,5.0
618,brother,noun,140.9,7.0
619,available,adjective,140.4,9.0
620,soon,adverb,140.4,4.0
621,likely,adjective,140.0,6.0
622,population,noun,140.0,10.0
623,point,verb,140.0,5.0
624,term,noun,139.9,4.0
625,Congress,noun,139.6,8.0
626,chance,noun,139.3,6.0
627,behavior,noun,139.2,8.0
628,summer,noun,138.9,6.0
629,floor,noun,138.8,5.0
630,material,noun,138.8,8.0
631,opportunity,noun,138.7,11.0
632,less,determiner,138.1,4.0
633,administration,noun,137.9,14.0
634,realize,verb,137.2,7.0
635,subject,noun,136.4,7.0
636,hundred,number,136.1,7.0
637,current,adjective,136.1,7.0
638,well,preposition,136.0,4.0
639,rule,noun,135.7,4.0
640,economy,noun,135.5,7.0
641,place,verb,135.4,5.0
642,close,verb,135.3,5.0
643,south,noun,134.7,5.0
644,choice,noun,134.4,6.0
645,short,adjective,134.3,5.0
646,increase,verb,134.3,8.0
647,risk,noun,134.3,4.0
648,daughter,noun,134.3,8.0
649,letter,noun,134.2,6.0
650,bed,noun,134.0,3.0
651,husband,noun,133.6,7.0
652,single,adjective,133.5,6.0
653,performance,noun,133.1,11.0
654,certainly,adverb,132.8,9.0
655,myself,pronoun,132.7,6.0
656,defense,noun,132.7,7.0
657,call,noun,132.3,4.0
658,involve,verb,132.3,7.0
659,church,noun,132.1,6.0
660,per,preposition,132.1,3.0
661,medical,adjective,132.1,7.0
662,fire,noun,132.0,4.0
663,sport,noun,131.1,5.0
664,bank,noun,131.1,4.0
665,wrong,adjective,131.1,5.0
666,significant,adjective,131.0,11.0
667,security,noun,130.9,8.0
668,represent,verb,130.5,9.0
669,goal,noun,130.5,4.0
670,hospital,noun,130.4,8.0
671,seek,verb,130.0,4.0
672,board,noun,129.9,5.0
673,thousand,number,129.6,8.0
674,author,noun,129.6,6.0
675,anyone,pronoun,129.5,6.0
676,west,noun,129.3,4.0
677,future,noun,128.9,6.0
678,nature,noun,128.7,6.0
679,throw,verb,128.4,5.0
680,top,noun,128.3,3.0
681,officer,noun,128.0,7.0
682,factor,noun,128.0,6.0
683,foreign,adjective,127.9,7.0
684,deal,verb,127.7,4.0
685,private,adjective,127.2,7.0
686,focus,verb,127.1,5.0
687,thus,adverb,126.8,4.0
688,upon,preposition,126.7,4.0
689,reduce,verb,126.7,6.0
690,note,verb,126.7,4.0
691,color,noun,126.6,5.0
692,agency,noun,126.6,6.0
693,fill,verb,126.5,4.0
694,fight,verb,126.4,5.0
695,sound,noun,126.3,5.0
696,rest,noun,126.0,4.0
697,past,adjective,125.8,4.0
698,order,noun,125.5,5.0
699,quickly,adverb,125.5,7.0
700,drop,verb,125.4,4.0
701,blood,noun,125.2,5.0
702,response,noun,125.2,8.0
703,movement,noun,124.9,8.0
704,store,noun,124.8,5.0
705,push,verb,124.7,4.0
706,second,noun,124.5,6.0
707,recently,adverb,124.4,8.0
708,common,adjective,124.3,6.0
709,page,noun,124.3,4.0
710,similar,adjective,124.2,7.0
711,plan,verb,124.1,4.0
712,language,noun,124.0,8.0
713,than,preposition,123.8,4.0
714,before,adverb,123.6,6.0
715,natural,adjective,123.4,7.0
716,concern,noun,122.7,7.0
717,fine,adjective,122.6,4.0
718,dead,adjective,122.5,4.0
719,article,noun,121.9,7.0
720,near,preposition,121.9,4.0
721,race,noun,121.9,4.0
722,PM,adverb,121.7,2.0
723,individual,noun,121.6,10.0
724,ok,adverb,121.5,2.0
725,no,adverb,121.3,2.0
726,hot,adjective,121.3,3.0
727,series,noun,121.2,6.0
728,enter,verb,121.1,5.0
729,other,pronoun,120.8,5.0
730,artist,noun,120.8,6.0
731,stock,noun,120.7,5.0
732,share,verb,120.0,5.0
733,approach,noun,120.0,8.0
734,fund,noun,119.7,4.0
735,analysis,noun,119.6,8.0
736,poor,adjective,119.6,4.0
737,decade,noun,119.4,6.0
738,each,pronoun,119.3,4.0
739,cup,noun,119.2,3.0
740,rise,verb,119.0,4.0
741,identify,verb,118.9,8.0
742,usually,adverb,118.8,7.0
743,resource,noun,118.7,8.0
744,treatment,noun,118.6,9.0
745,indicate,verb,118.3,8.0
746,animal,noun,118.1,6.0
747,shoot,verb,117.9,5.0
748,east,noun,117.8,4.0
749,herself,pronoun,117.6,7.0
750,occur,verb,117.3,5.0
751,exactly,adverb,117.1,7.0
752,central,adjective,116.7,7.0
753,dog,noun,116.3,3.0
754,quality,noun,116.1,7.0
755,determine,verb,115.8,9.0
756,career,noun,115.8,6.0
757,save,verb,115.7,4.0
758,seven,number,115.6,5.0
759,away,preposition,115.6,4.0
760,size,noun,115.3,4.0
761,media,noun,115.1,5.0
762,happy,adjective,114.8,5.0
763,lie,verb,114.8,3.0
764,despite,preposition,114.5,7.0
765,thought,noun,114.5,7.0
766,ability,noun,114.4,7.0
767,physical,adjective,114.3,8.0
768,election,noun,114.0,8.0
769,scene,noun,113.9,5.0
770,disease,noun,113.8,7.0
771,environmental,adjective,113.8,13.0
772,everybody,pronoun,113.7,9.0
773,argue,verb,113.4,5.0
774,region,noun,113.1,6.0
775,growth,noun,113.1,6.0
776,attack,noun,113.1,6.0
777,wonder,verb,113.1,6.0
778,eight,number,113.0,5.0
779,ready,adjective,113.0,5.0
780,hard,adverb,112.9,4.0
781,pressure,noun,112.8,8.0
782,beyond,preposition,112.8,6.0
783,list,noun,112.6,4.0
784,protect,verb,112.6,7.0
785,degree,noun,112.5,6.0
786,simple,adjective,112.4,6.0
787,success,noun,112.3,7.0
788,left,adjective,112.2,4.0
789,skill,noun,112.1,5.0
790,pretty,adverb,112.0,6.0
791,knowledge,noun,111.9,9.0
792,particularly,adverb,111.8,12.0
793,serious,adjective,111.7,7.0
794,whatever,determiner,111.6,8.0
795,staff,noun,111.5,5.0
796,sign,noun,111.2,4.0
797,recognize,verb,111.2,9.0
798,training,noun,111.1,8.0
799,answer,noun,111.0,6.0
800,accept,verb,111.0,6.0
801,amount,noun,111.0,6.0
802,meeting,noun,110.9,7.0
803,standard,noun,110.8,8.0
804,section,noun,110.6,7.0
805,loss,noun,110.6,4.0
806,trade,noun,110.4,5.0
807,glass,noun,110.4,5.0
808,television,noun,110.4,10.0
809,box,noun,110.4,3.0
810,present,verb,110.4,7.0
811,general,adjective,110.3,7.0
812,character,noun,110.1,9.0
813,TV,noun,109.9,2.0
814,lay,verb,109.7,3.0
815,prepare,verb,109.4,7.0
816,strategy,noun,109.2,8.0
817,bill,noun,108.9,4.0
818,deal,noun,108.8,4.0
819,design,noun,108.0,6.0
820,benefit,noun,108.0,7.0
821,laugh,verb,107.9,5.0
822,sister,noun,107.1,6.0
823,compare,verb,106.9,7.0
824,guess,verb,106.8,5.0
825,crime,noun,106.7,5.0
826,state,verb,106.6,5.0
827,forward,adverb,106.4,7.0
828,lawyer,noun,106.3,6.0
829,environment,noun,106.2,11.0
830,financial,adjective,106.2,9.0
831,answer,verb,105.9,6.0
832,blue,adjective,105.8,4.0
833,dark,adjective,105.7,4.0
834,tonight,adverb,105.7,7.0
835,message,noun,105.6,7.0
836,fail,verb,105.6,4.0
837,leg,noun,105.5,3.0
838,arrive,verb,105.4,6.0
839,name,verb,105.3,4.0
840,feeling,noun,105.2,7.0
841,executive,noun,105.2,9.0
842,authority,noun,105.1,9.0
843,gun,noun,105.1,3.0
844,democratic,adjective,105.1,10.0
845,operation,noun,105.1,9.0
846,example,noun,104.7,7.0
847,sort,noun,104.6,4.0
848,Democrat,noun,104.2,8.0
849,discuss,verb,104.1,7.0
850,ten,number,104.1,3.0
851,various,adjective,103.9,7.0
852,hang,verb,103.6,4.0
853,outside,preposition,103.6,7.0
854,professor,noun,103.5,9.0
855,miss,verb,103.4,4.0
856,religious,adjective,103.2,9.0
857,stage,noun,103.0,5.0
858,station,noun,102.9,7.0
859,manager,noun,102.6,7.0
860,indeed,adverb,102.6,6.0
861,design,verb,102.1,6.0
862,establish,verb,102.0,9.0
863,clearly,adverb,102.0,7.0
864,check,verb,101.7,5.0
865,science,noun,101.6,7.0
866,public,noun,101.5,6.0
867,cultural,adjective,101.5,8.0
868,act,verb,101.4,3.0
869,one,noun,101.3,3.0
870,since,preposition,101.3,5.0
